name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,description
chittagong,2/4/2010,27,18.3,21.7,26.6,18.3,21.7,12.7,59.1,0,0,0,,25.9,221.1,,15.4,4.6,226.6,19.5,8,0.68,Clear,Clear conditions throughout the day.
chittagong,2/5/2010,26,18,21.7,26,18,21.7,11.6,56,0,0,0,,25.9,121.1,,20,4.1,221,19,8,0.73,Clear,Partly cloudy throughout the day.
chittagong,2/6/2010,26,18,21.6,26,18,21.6,12,57.1,0,0,0,,25.6,168.2,,24.3,4.7,214,18.5,8,0.78,Partially cloudy,Clearing in the afternoon.
chittagong,2/7/2010,26,16,20.8,26,16,20.8,12.4,62.7,0,0,0,,22.3,80.3,,2.5,4.2,229.7,19.6,8,0.83,Clear,Clear conditions throughout the day.
chittagong,2/8/2010,26.1,16.1,21.1,26.1,16.1,21.1,13.7,66.4,0,0,0,,18.4,131.4,,6.9,3.8,216.5,18.5,8,0.88,Clear,Clear conditions throughout the day.
chittagong,2/9/2010,26,17,22,26,17,22,16.1,71.7,0,0,0,,18.4,153.8,,40.3,3.1,204.1,17.7,8,0.91,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/10/2010,27,18.1,23.1,27.9,18.1,23.1,17.5,72.8,0,0,0,,18.4,224.6,,37.9,2.7,208.5,18.1,8,0.95,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/11/2010,30,20.1,24.7,29.2,20.1,24.6,16.1,61.8,0,0,0,,17.3,231.8,,61.2,3.4,192.9,16.6,7,0.97,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/12/2010,30.1,20,25.1,28.4,20,24.7,13.5,52.5,0,0,0,,22.3,250.7,,29.9,4.3,222.8,19.3,8,0.99,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/13/2010,29,19,23.6,27.7,19,23.5,14,58.3,0,0,0,,22.3,200.9,,23.1,3.8,217.6,18.7,8,1,Partially cloudy,Clearing in the afternoon.
chittagong,2/14/2010,28,20,23.9,28.3,20,24,16.3,63.6,0,0,0,,22.3,182.4,,4.4,3.7,224.7,19.4,8,0,Clear,Clear conditions throughout the day.
chittagong,2/15/2010,29,21,24.5,28.8,21,24.6,17.9,68.4,0,0,0,,22.3,211.4,,19.5,3.5,204.7,17.9,7,0.01,Clear,Clear conditions throughout the day.
chittagong,2/16/2010,29,20,24.5,29.1,20,24.5,16.2,61.8,0,0,0,,15.5,195.3,,64.7,4.3,155,13.3,6,0.03,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/17/2010,28,22,24.5,28,22,24.5,18,69.2,0,0,0,,18,148.8,,63.7,3.5,213.7,18.5,8,0.05,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/18/2010,27,22.8,24.4,28.2,22.8,24.5,18.9,73.4,0,0,0,,25.9,278.2,,64.1,3.5,223.1,19.2,8,0.08,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/19/2010,29,21.3,24.6,27.6,21.3,24.3,12.4,49.4,0,0,0,,22.3,143.4,,37.3,4.4,254.7,22,9,0.12,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/20/2010,29,19.9,23.7,27.8,19.9,23.6,14.4,58.7,0,0,0,,14.8,115.5,,42.5,3.6,239.7,20.6,8,0.17,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/21/2010,29,19,24,27.8,19,23.8,14.5,59.2,0,0,0,,18.4,171.7,,32,3.6,238.7,20.6,9,0.22,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/22/2010,29,20.6,24.2,28.6,20.6,24.1,14.9,58.1,0,0,0,,25.9,168.3,,33.4,3.7,236.8,20.3,8,0.28,Partially cloudy,Partly cloudy throughout the day.
chittagong,2/23/2010,29.1,20,24.5,28.6,20,24.3,15.3,59.7,0.3,100,12.5,rain,22.3,182.1,,51.1,3.9,225.3,19.6,8,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
chittagong,2/24/2010,26.1,21,24.1,26.1,21,24.1,20.2,79,0,0,0,,20.2,196.3,,6.1,3.5,235.9,20.3,8,0.38,Clear,Clear conditions throughout the day.
chittagong,2/25/2010,28,23,24.9,29.2,23,25.2,20.8,78.8,3.4,100,62.5,rain,15.5,145.6,,29.6,4.2,228.1,19.6,8,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,2/26/2010,28.1,22,25,29.7,22,25.6,20.8,78.1,2.7,100,41.67,rain,20.5,132.9,,49,4.4,244.6,21.1,9,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,2/27/2010,30,22.4,25.7,30,22.4,25.7,17.9,64.9,0,0,0,,18.4,180.3,,4.5,5.1,236.9,20.4,8,0.49,Clear,Clear conditions throughout the day.
chittagong,2/28/2010,28,21,24.9,29.2,21,25.2,20.4,76.9,0,0,0,,16.6,110,,2.1,3.9,240.1,20.7,9,0.5,Clear,Clear conditions throughout the day.
chittagong,3/1/2010,28,22,25.1,29.6,22,25.3,22,83.7,0,0,0,,19.8,158.4,,12.2,3.7,242.6,20.9,8,0.51,Clear,Clear conditions throughout the day.
chittagong,3/2/2010,28,24,25.3,30.6,24,25.5,22.3,84.1,0,0,0,,18,188.1,,15.8,3.6,255.7,22,9,0.53,Clear,Clear conditions throughout the day.
chittagong,3/3/2010,28,24,25.8,31.2,24,26.5,22.2,81,0,0,0,,25.9,173.1,,27,4.7,242.3,20.8,8,0.56,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/4/2010,28.1,24,26.1,31.2,24,27.1,22.5,81,0,0,0,,22.3,166,,34.6,5.3,253.7,22,9,0.6,Partially cloudy,Clearing in the afternoon.
chittagong,3/5/2010,28.1,24,25.7,31.9,24,26.4,22.3,81.9,0,0,0,,24.1,149.6,,59.7,5.2,254.4,22,9,0.65,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/6/2010,28.1,24.1,26.1,31.4,24.1,26.9,22.7,81.7,0,0,0,,23.8,170.2,,45.7,5.4,203,17.5,7,0.7,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/7/2010,30,23,26.5,34.1,23,27.9,23.4,83.8,0,0,0,,18.4,155.6,,23.2,4.8,250.9,21.8,9,0.75,Partially cloudy,Clearing in the afternoon.
chittagong,3/8/2010,31.1,25,27.5,35.6,25,29.4,23,77.4,0,0,0,,18.4,205.9,,17.8,4.2,243.3,21,8,0.8,Clear,Clear conditions throughout the day.
chittagong,3/9/2010,33,24,28.4,33.4,24,28.9,19.8,62.3,0,0,0,,18.4,282.8,,0.2,5.1,272,23.4,9,0.84,Clear,Clear conditions throughout the day.
chittagong,3/10/2010,33,24.9,28.5,32.2,24.9,28.1,16,50.5,0,0,0,,27.7,156.8,,7.4,5.9,272.8,23.7,9,0.88,Clear,Clear conditions throughout the day.
chittagong,3/11/2010,33,24.5,28.2,31.2,24.5,27.8,15.2,49,0,0,0,,22.3,137.6,,31.1,5,251.3,21.6,9,0.92,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/12/2010,32.1,23,27.8,32,23,27.8,17.1,55,0,0,0,,18.4,76.8,,13.4,4.6,264.1,22.6,9,0.95,Clear,Clear conditions throughout the day.
chittagong,3/13/2010,31.1,24,27.5,34.1,24,28.7,21.2,70,0,0,0,,16.6,97.3,,39.7,4.5,229.1,19.8,9,0.98,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/14/2010,30,23,26.8,33.6,23,28.2,22.6,78.8,0,0,0,,15.5,87.8,,45.2,4.3,248.9,21.4,9,1,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/15/2010,30,24,27.3,34.1,24,29.5,22.9,77.6,0.5,100,20.83,rain,20.5,131.2,,48.5,4.5,234.2,20.2,8,1,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.
chittagong,3/16/2010,31,25,27.7,33,25,28.6,21.1,68.9,0.3,100,12.5,rain,14.8,117.3,,35.5,4.8,221.4,19.3,7,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
chittagong,3/17/2010,33,26,28.6,35.3,26,29.7,21.3,67.3,0,0,0,,14.8,221,,39.4,4,225.7,19.5,8,0.01,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/18/2010,34,25,29.3,34,25,30.3,20.2,61.1,0,0,0,,22.3,255.6,,31.3,4.6,256.2,22.1,9,0.03,Partially cloudy,Clearing in the afternoon.
chittagong,3/19/2010,34.1,24,28.9,34.5,24,29.8,19.3,59.3,0,0,0,,20.5,146.7,,9.1,4.2,267.2,23.1,9,0.06,Clear,Clear conditions throughout the day.
chittagong,3/20/2010,32,24,28.9,33.5,24,30.4,20.4,63.3,0,0,0,,22.3,227.7,,0.1,4.5,281.3,24.3,9,0.1,Clear,Clear conditions throughout the day.
chittagong,3/21/2010,33,24,28.7,34.1,24,30.8,21,66.3,0,0,0,,20.5,184.9,,0,4.1,279.3,24.1,9,0.14,Clear,Clear conditions throughout the day.
chittagong,3/22/2010,30,26,27.9,36.2,26,31.8,24.3,81.1,0,0,0,,23,171.8,,9.7,4.8,269.1,23.2,9,0.2,Clear,Clear conditions throughout the day.
chittagong,3/23/2010,30,25,28.1,36.2,25,31.8,23.8,78,0,0,0,,29.2,151.5,,26.2,4.9,259.7,22.4,9,0.25,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/24/2010,30,25,28,35.1,25,31.3,23.5,77.2,0,0,0,,25.9,133.2,,37.8,5.3,238.2,20.7,9,0.31,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/25/2010,30,26,27.6,34.1,26,30.5,23.5,78.6,0,0,0,,23.8,170.8,,38.2,5.2,241.4,20.8,8,0.36,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/26/2010,30.1,26.9,27.8,34.3,29.6,31.2,23.6,78,0,0,0,,22.7,185.8,,29.7,4.8,222.2,19.1,7,0.41,Partially cloudy,Clearing in the afternoon.
chittagong,3/27/2010,31,26,27.6,37.7,26,30.7,23.5,78.5,0,0,0,,31.3,140.8,,50.3,5.9,211.8,18.3,8,0.45,Partially cloudy,Partly cloudy throughout the day.
chittagong,3/28/2010,31,26,28.2,36.5,26,31.6,23.7,76.8,3.8,100,25,rain,31.3,115.5,,52.9,6.4,205.2,17.6,7,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
chittagong,3/29/2010,29.1,24.1,27.8,33.5,24.1,31.3,23.7,79.1,11.8,100,70.83,rain,34.2,122.7,,37.5,6.2,243.4,21,8,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,3/30/2010,29,26,27.9,36.8,26,32.5,25.2,85.4,3.9,100,100,rain,29.2,120.6,,67,5.5,247,21.3,8,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,3/31/2010,28.1,25,27.1,33.7,25,30.4,25,88.5,6.9,100,100,rain,41.4,138.2,,62.2,4.9,243.7,20.9,8,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,4/1/2010,30,26,28.1,37.4,26,33,25.4,85.6,2.7,100,50,rain,36,153.6,,58.1,5,261.7,22.5,9,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,4/2/2010,30.1,27,28.4,37.6,30.2,33.8,25.6,85,0.5,100,20.83,rain,32.4,138.7,,64.9,5.5,223.8,19.3,7,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,4/3/2010,31,26,28.6,39.1,26,34,25.3,82.6,0,0,0,,27.7,156.1,,44.4,6.1,239.6,20.7,8,0.62,Partially cloudy,Clearing in the afternoon.
chittagong,4/4/2010,31,26,28.5,36.5,26,32.7,24.4,79.1,0,0,0,,21.2,154.2,,54.5,5.9,222.3,19.1,7,0.66,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/5/2010,30,26,28.1,35.1,26,32.3,24.8,82.7,0,0,0,,20.2,177.8,,37.1,5,237,20.4,8,0.71,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/6/2010,36,27,28.7,44.6,30.6,33.7,25,80.9,0,0,0,,21.2,179.1,,70.2,5.5,197.2,17.2,7,0.76,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/7/2010,31.1,27,29,37.9,30.6,34.4,25.2,80.3,0,0,0,,18.4,142.8,,44.9,5.8,228.1,19.6,8,0.81,Partially cloudy,Clearing in the afternoon.
chittagong,4/8/2010,32.1,27,29.2,42.5,31.2,35.6,25.7,81.4,0,0,0,,22.3,207.7,,52.3,4.8,283.9,24.6,9,0.85,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/9/2010,31,28,28.9,37.7,33.2,34.9,25.7,82.7,0,0,0,,23.8,186.1,,51.2,6.2,255.2,22,8,0.89,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/10/2010,31,26,28.9,39.1,26,34.2,25.2,81,0,0,0,,27.4,157.9,,67.5,5.7,216.7,18.7,8,0.93,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/11/2010,31.1,27,29.1,37.9,30.6,34.2,24.6,77.5,0,0,0,,32.8,152.8,,57.4,5.8,187.4,16.1,6,0.96,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/12/2010,31.1,28,29.5,36.7,32.7,35,24.8,76.3,0,0,0,,23.8,175.5,,58.2,6.3,208.2,18.1,6,0.98,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/13/2010,31,26,29.5,37.7,26,34.9,24.7,75.8,0,0,0,,24.1,176,,64.6,6.1,134.7,11.6,5,1,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/14/2010,32,27,29.9,39.2,30.1,35.3,24.6,73.7,0,0,0,,25.9,171.6,,51.3,6.6,102.2,8.8,3,1,Partially cloudy,Clearing in the afternoon.
chittagong,4/15/2010,31,27,29.3,37.7,30.6,34.5,24.7,76.7,0,0,0,,18.4,171.8,,57.1,6.1,123.4,10.4,4,0.01,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/16/2010,35,27.1,30,39.5,30.2,34.8,24.1,71.8,0,0,0,,22.3,177.2,,20.4,5.6,247.7,21.4,8,0.02,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/17/2010,32,28,29.5,39.2,31.2,34.7,24.5,75.2,0,0,0,,28.8,180.9,,37.7,7.1,277.3,23.8,9,0.05,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/18/2010,32,27,29.1,37.7,29.2,34.2,24.7,77.6,1.1,100,45.83,rain,32,169.4,,52.9,6.4,202,17.5,7,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,4/19/2010,32,28.7,29.6,39.2,29.5,35.3,24.5,75.5,0,0,0,,38.9,173,,60.4,6.5,240.5,20.8,8,0.13,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/20/2010,32,28,29.2,42.3,31.9,35.3,25.4,79.9,0,0,0,,40.3,160.2,,58.5,5.1,241.3,20.9,8,0.18,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/21/2010,32,28,29.7,40.6,32.7,35.9,25.2,77.4,0,0,0,,38.5,157.5,,51.4,6.1,263.9,22.8,9,0.24,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/22/2010,32.1,28,29.7,39.3,32.7,36,25.4,78,0,0,0,,35.3,161.2,,51.9,6.4,228.9,19.7,7,0.29,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/23/2010,32,28,29.7,39.2,31.9,35.4,24.8,75.4,0,0,0,,27.7,177.3,,48.7,6.5,242.8,20.8,8,0.35,Partially cloudy,Partly cloudy throughout the day.
chittagong,4/24/2010,32,28.1,29.8,40.6,32.8,36,25.3,77.2,2.7,100,37.5,rain,28.1,163.3,,61,6.4,224.2,19.3,7,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
chittagong,4/25/2010,29.4,25,28.4,36,25,33.3,24.8,81.3,11.6,100,70.83,rain,32.4,164,,49.1,5.5,226.4,19.7,7,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,4/26/2010,30,28.2,28.7,36.2,33.6,34.6,25.7,83.6,2.6,100,70.83,rain,31.3,187.9,,60.5,7,110.4,9.5,4,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,4/27/2010,32,26,29.4,36.8,26,34,24.1,74.2,1.6,100,50,rain,19.4,133.7,,27.6,6.8,275,23.8,9,0.49,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,4/28/2010,31,27,29.2,39.1,30.1,34.9,25,78.3,0.3,100,12.5,rain,163.1,163.4,,27,6.1,263.9,22.8,8,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.
chittagong,4/29/2010,32,28,29.7,37.9,32.7,35.6,25,76.4,1.7,100,66.67,rain,22.3,165.7,,63.4,6,128.7,11.1,4,0.51,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,4/30/2010,33.1,28,29.9,42.3,33.5,36.2,25.3,77,1.5,100,54.17,rain,19.1,132.4,,70.7,6,186.9,16.1,6,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,5/1/2010,33,27,29.8,42.1,30.1,35.2,24.5,73.7,1.2,100,50,rain,22.3,159.4,,43.3,6.5,159.8,13.9,6,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,5/2/2010,33,28,30.5,40.6,32.7,36.7,25,73,0.2,100,8.33,rain,20.9,130.8,,49.5,6.6,138.4,11.9,5,0.59,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.
chittagong,5/3/2010,33,27,30.5,42.1,29.6,36.8,25,72.6,3,100,91.67,rain,18.4,188.7,,46.3,6.6,149.1,12.9,5,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,5/4/2010,32,28,30.1,42.3,33.5,36.8,25.5,76.8,5.2,100,79.17,rain,25.9,199,,75.2,6.3,116.6,9.9,4,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,5/5/2010,32,28,30.1,37.9,33.5,35.9,24.7,72.9,4.2,100,100,rain,18.4,195.3,,76,5.8,133,11.4,4,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,5/6/2010,33,28,29.8,38,32,34.5,23.8,70.7,4.4,100,75,rain,18.4,160.4,,71.9,6,176.1,15.2,6,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
chittagong,5/7/2010,33,27,30,40.6,30.1,34.9,23.9,70,0.7,100,29.17,rain,22.3,161.3,,42.9,6.5,146.5,12.6,5,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,5/8/2010,32,27,29.9,39.2,29.2,34.9,23.9,70.3,1,100,41.67,rain,15.8,180.7,,50.2,6.3,223.6,19.3,7,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,5/9/2010,32.1,28,30.4,40.8,31.2,37.5,25.5,74.9,1.9,100,50,rain,22.3,163.3,,43.1,6.5,298,25.7,9,0.9,"Rain, Partially cloudy",Clearing in the afternoon with rain.
chittagong,5/10/2010,32,26,29.8,40.6,26,36.2,25.2,77.1,6.5,100,50,rain,27.7,161,,61.6,6.2,255.3,22,8,0.94,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.
chittagong,5/11/2010,33,29,30.6,45.7,33.6,39.3,26.5,78.8,0,0,0,,22.3,166.6,,53,6.6,176.3,15.2,6,0.97,Partially cloudy,Partly cloudy throughout the day.
chittagong,5/12/2010,32,29,30.1,40.6,35.6,38.6,26.8,82.6,0,0,0,,28.1,173.8,,72.4,6.4,179.2,15.6,6,0.99,Partially cloudy,Partly cloudy throughout the day.
chittagong,5/13/2010,30.3,29.7,29.9,39.5,38.5,39,27.3,85.9,0,0,0,,27.4,200,,67.6,,158.8,13.6,6,1,Partially cloudy,Partly cloudy throughout the day.
chittagong,5/14/2010,30.4,29.6,30,39.3,38.2,38.8,27.1,84.2,1.4,100,45.83,rain,26.3,200.4,,72.6,,183.5,15.8,6,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
chittagong,5/15/2010,30.2,29.6,29.9,38.5,37.2,37.9,26.6,82.8,1.6,100,50,rain,25.6,207.3,,69.5,,191.4,16.6,7,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
chittagong,5/16/2010,30.5,29.6,30.2,39.2,37.3,38.5,26.7,81.6,0.4,100,16.67,rain,22.3,202.6,,59.4,,203.1,17.5,6,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
chittagong,5/17/2010,30.8,29.8,30.2,39.2,37.6,38.6,26.7,81.2,0.5,100,20.83,rain,19.1,196.2,,83.7,,206.6,17.8,7,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
